FirstName,LastName,Date Of Birth,Height (cm), Age
ERCOCQDE,PGDPSBWO,1/1/1940,155.9507653,83
PUGNNJMN,QJNPABWL,1/2/1940,118.6499318,83
ITTMSLPY,NXTUPYRK,1/3/1940,154.058603,83
GRENJGIU,XATSAHKI,1/4/1940,189.3289801,83
WPIUFQTJ,EXMKKQMP,1/5/1940,101.2679446,83
KHOIULLS,FJXDWOQD,1/6/1940,125.155691,83
PRCQULOO,JKGIFIHE,1/7/1940,164.3405832,83
AVVNQMFO,EIYNSXGG,1/8/1940,192.6615277,83
DIQVKBMD,RUPCBFUX,1/9/1940,175.1067167,83
JDRIQORE,EYVNFOLB,1/10/1940,182.282244,83
GFNKTENX,VVJEJXGW,1/11/1940,130.6856174,83
WICCHSJP,UNLBSXTV,1/12/1940,183.596756,83
LMDEUCFS,OGKHIMAW,1/13/1940,141.2700118,83
SXURIVYN,PKKABQUA,1/14/1940,182.1966667,83
YJIYBULJ,HGRBSHVS,1/15/1940,132.2990051,83
CDWFMERQ,DEANTRAI,1/16/1940,104.3603758,83
KYDSUAKW,SWXANCPJ,1/17/1940,120.6912513,83
BOTUYQUX,ITPLWCRQ,1/18/1940,197.4483466,83
DBIKMKCY,MFPMGSYU,1/19/1940,146.9274955,83
PTYXVOFP,IKXRSRDO,1/20/1940,164.843357,83
POWIUDDI,POLCSYRI,1/21/1940,119.8486037,83
TFHBJJBQ,AYUJLYMA,1/22/1940,171.5229599,83
XOSSCUIW,CCOVLFTF,1/23/1940,113.5664132,83
UFUGJVTH,ISYCQGDQ,1/24/1940,156.0480461,83
FAGDSQFB,EEPRQIUB,1/25/1940,108.1144634,83
NENIHPNW,ICCFJOGR,1/26/1940,114.8627513,83
KUOPQVIW,GOUSOFRA,1/27/1940,121.5218076,83
FQBLJPIX,FAFKBJRS,1/28/1940,107.6019112,83
XWTRFFSL,LDUMHUFE,1/29/1940,105.8905703,83
XJICGXCT,RUISPOAU,1/30/1940,180.7401242,83
RWBENNUE,DCYLNASC,1/31/1940,193.4752346,83
HOKTGQPJ,KFEMUBFC,2/1/1940,123.0079574,83
IBUHPEPR,WWHWQTLV,2/2/1940,126.1709978,83
QBASGVEK,KOVOXRDK,2/3/1940,190.179006,83
